date,plant,product,units,defect_rate
2025-11-07,campinas,microwave,208,0.036439626306446246
2025-11-07,campinas,vacuum,137,0.022885518956286256
2025-11-07,campinas,coffee_maker,204,0.023417022744170922
2025-11-07,manaus,microwave,220,0.02237034796740524
2025-11-07,manaus,vacuum,163,0.0250013470982973
2025-11-07,manaus,coffee_maker,185,0.021700152931040897
2025-11-07,recife,microwave,213,0.018962644509000978
2025-11-07,recife,vacuum,136,0.025634033966325142
2025-11-07,recife,coffee_maker,166,0.031409511135298565
2025-11-08,campinas,microwave,205,0.023848839022547773
2025-11-08,campinas,vacuum,139,0.018149263270738424
2025-11-08,campinas,coffee_maker,171,0.033808306182559054
2025-11-08,manaus,microwave,191,0.03364063778944571
2025-11-08,manaus,vacuum,153,0.019217623375852973
2025-11-08,manaus,coffee_maker,166,0.024693193361898135
2025-11-08,recife,microwave,199,0.030140249477928194
2025-11-08,recife,vacuum,153,0.015689197489643578
2025-11-08,recife,coffee_maker,184,0.02992188175347938
2025-11-09,campinas,microwave,200,0.02728457929493686
2025-11-09,campinas,vacuum,148,0.017696801293805478
2025-11-09,campinas,coffee_maker,179,0.027194999437787335
2025-11-09,manaus,microwave,197,0.03087729985926151
2025-11-09,manaus,vacuum,147,0.021819819157895572
2025-11-09,manaus,coffee_maker,179,0.03351954724474519
2025-11-09,recife,microwave,197,0.030497987509610087
2025-11-09,recife,vacuum,160,0.016897623558826187
2025-11-09,recife,coffee_maker,172,0.02386749575810414
2025-11-10,campinas,microwave,192,0.025024343200149776
2025-11-10,campinas,vacuum,162,0.019593285192053226
2025-11-10,campinas,coffee_maker,169,0.027405597636671122
2025-11-10,manaus,microwave,183,0.02388827198896714
2025-11-10,manaus,vacuum,147,0.017421162034933664
2025-11-10,manaus,coffee_maker,174,0.018083114400258136
2025-11-10,recife,microwave,190,0.028828039925364653
2025-11-10,recife,vacuum,159,0.028656397193614146
2025-11-10,recife,coffee_maker,169,0.023111206966674253
2025-11-11,campinas,microwave,205,0.03557552127891857
2025-11-11,campinas,vacuum,156,0.01821843307933973
2025-11-11,campinas,coffee_maker,164,0.026270293424320867
2025-11-11,manaus,microwave,190,0.030380607540751777
2025-11-11,manaus,vacuum,156,0.01847396038162306
2025-11-11,manaus,coffee_maker,203,0.029984993258339473
2025-11-11,recife,microwave,183,0.03173736323027492
2025-11-11,recife,vacuum,168,0.02205364037420252
2025-11-11,recife,coffee_maker,173,0.032819998585254875
2025-11-12,campinas,microwave,207,0.030501074449657092
2025-11-12,campinas,vacuum,172,0.022382642556665056
2025-11-12,campinas,coffee_maker,203,0.024553999731475255
2025-11-12,manaus,microwave,221,0.03027111771413881
2025-11-12,manaus,vacuum,133,0.016122302950464452
2025-11-12,manaus,coffee_maker,191,0.029024121456374098
2025-11-12,recife,microwave,183,0.022557958996326448
2025-11-12,recife,vacuum,146,0.016469363569566072
2025-11-12,recife,coffee_maker,188,0.030002533756783613
2025-11-13,campinas,microwave,187,0.04030972279083567
2025-11-13,campinas,vacuum,129,0.021065947091253437
2025-11-13,campinas,coffee_maker,176,0.02335666696236608
2025-11-13,manaus,microwave,213,0.032467688960962984
2025-11-13,manaus,vacuum,139,0.01546291015416687
2025-11-13,manaus,coffee_maker,163,0.024205666934697525
2025-11-13,recife,microwave,188,0.021707685851127975
2025-11-13,recife,vacuum,143,0.017939341561533564
2025-11-13,recife,coffee_maker,175,0.02719846933875151
